,Cobertura_Válida,Water_cover (km²)
2003-01-01,100.0,714.3980392156863
2003-01-11,98.85741462033188,745.1107843137256
2003-01-21,99.83793151567637,825.8107843137253
2003-01-31,92.79264673892969,798.9107843137256
2003-02-10,57.064780194297505,578.3313725490194
2003-02-20,97.1519247107496,865.2862745098039
2003-03-02,98.66364043062298,1046.563725490196
2003-03-12,9.740372341953728,65.54607843137255
2003-03-22,99.99958957015681,1077.4058823529415
2003-04-01,100.0,1159.8980392156868
2003-04-11,99.94767019499523,1157.1294117647062
2003-04-21,98.2587000866007,1091.001960784314
2003-05-01,100.0,1140.3500000000004
2003-05-11,99.85080875200597,1138.9058823529417
2003-05-21,100.0,1150.5990196078435
2003-05-31,100.0,1142.787254901961
2003-06-10,100.0,1127.8009803921573
2003-06-20,100.0,1150.4372549019613
2003-06-30,100.0,1133.3470588235296
2003-07-10,100.0,1151.0254901960789
2003-07-20,100.0,1155.4607843137262
2003-07-30,100.0,1187.3872549019613
2003-08-09,100.0,1181.440196078432
2003-08-19,100.0,1200.2970588235298
2003-08-29,100.0,1156.4862745098042
2003-09-08,100.0,1180.3686274509807
2003-09-18,100.0,1043.0852941176468
2003-09-28,99.84301058498566,876.4156862745097
2003-10-08,99.94541283085776,695.913725490196
2003-10-18,100.0,576.5137254901958
2003-10-28,99.69879579884014,90.51470588235293
2003-11-07,100.0,151.55588235294113
2003-11-17,99.93746075264625,62.54607843137255
2003-11-27,99.59572660447287,212.70686274509805
2003-12-07,99.65251983402217,135.20098039215688
2003-12-17,99.89534038999044,131.528431372549
2003-12-27,98.39250021547568,166.5921568627451
2004-01-06,100.0,339.72254901960775
2004-01-16,95.90560318821903,454.9656862745098
2004-01-26,98.16655858680797,754.7431372549017
2004-02-05,94.09555627608793,754.0960784313723
2004-02-15,88.94142960922971,854.3303921568627
2004-02-25,98.76332357878407,1039.4382352941175
2004-03-06,98.45893854633958,1029.7686274509801
2004-03-16,98.11356183330803,1057.5372549019608
2004-03-26,98.13208247998132,1127.7000000000005
2004-04-05,99.65985626746891,1172.89705882353
2004-04-15,100.0,1162.403921568628
2004-04-25,99.99045750614619,1141.1196078431378
2004-05-05,100.0,1177.83137254902
2004-05-15,99.99635743514183,1143.095098039216
2004-05-25,100.0,1142.0941176470594
2004-06-04,100.0,1160.535294117648
2004-06-14,100.0,1155.5872549019612
2004-06-24,99.99774263586254,1157.4764705882358
2004-07-04,100.0,1196.010784313726
2004-07-14,100.0,1169.5470588235298
2004-07-24,100.0,1222.039215686275
2004-08-03,99.97629767655665,1190.99705882353
2004-08-13,100.0,1177.4970588235296
2004-08-23,100.0,1163.203921568628
2004-09-02,100.0,1088.6598039215692
2004-09-12,100.0,926.0823529411764
2004-09-22,100.0,780.7598039215685
2004-10-02,100.0,676.6686274509802
2004-10-12,100.0,734.2568627450978
2004-10-22,100.0,347.99999999999994
2004-11-01,100.0,39.932352941176475
2004-11-11,100.0,107.69607843137256
2004-11-21,99.89534038999044,79.25
2004-12-01,99.05806350991394,203.98823529411766
2004-12-11,97.80732986656926,336.13627450980374
2004-12-21,99.88764483043092,424.54705882352937
